ingredient_name,recipe_count,recipe_names
60ml Gin,1,Gin Basil Smash
Freshly Squeezed Lemon Juice,1,Gin Basil Smash
Italian Basil leaves,1,Gin Basil Smash
Splash of Soda Water,1,Gin Fizz
Grand Marnier,1,Grand Margarita
Crème de Cacao (White),1,Grasshopper
Crème de Menthe (Green),1,Grasshopper
Fernet,1,Hanky Panky
Rum,1,Hemingway Special
Fresh Lime,1,Hemingway Special
Ginger Ale,1,Horse’s Neck
Dash of Angostura Bitters (optional),1,Horse’s Neck
Ron Profundo Havana Club,1,Iba Tiki
Ron Smoky Havana Club,1,Iba Tiki
Licor Amaretto,1,Iba Tiki
Licor Frangelico,1,Iba Tiki
Gengibre Slice,1,Iba Tiki
Espadin Mezcal,1,Illegal
Jamaica Overproof White Rum,1,Illegal
Hot coffee,1,Irish Coffee
Fresh cream (Chilled),1,Irish Coffee
Sugar,1,Irish Coffee
Blackstrap rum,1,Jungle Bird
Campari,1,Jungle Bird
Pineapple juice,1,Jungle Bird
Freshly Squeezed Lime juice,1,Jungle Bird
Demerara sugar syrup,1,Jungle Bird
Crème de Cassis,1,Kir
Fresh Squeezed Lemon Juice,1,Lemon Drop Martini
Lemon juice,1,Long Island Iced Tea
Amber Jamaican Rum,1,Mai-Tai
Martinique Molasses Rhum*,1,Mai-Tai
Orange Curacao,1,Mai-Tai
Orgeat Syrup (Almond),1,Mai-Tai
Fresh Squeezed Lime Juice,1,Mai-Tai
Tequila 100% Agave,1,Margarita
Freshly Squeezed Lime Juice,1,Margarita
Freshly Squeezed  Orange Juice,1,Mimosa
fresh Mint sprigs,1,Mint Julep
Powdered Sugar,1,Mint Julep
Peach Brandy,1,Missionary’s Downfall
Honey Mix,1,Missionary’s Downfall
to 4 pcs Pineapple Chunks,1,Missionary’s Downfall
Mint Sprigs,1,Mojito
Tablespoon Absinthe,1,Monkey Gland
Tablespoon Grenadine Syrup,1,Monkey Gland
Smirnoff Vodka,1,Moscow Mule
Mezcal,1,Naked And Famous
Yellow Chartreuse,1,Naked And Famous
Rye Whiskey or Bourbon,1,New York Sour
Red wine (Shiraz or Malbech),1,New York Sour
Aged Rum,1,Old Cuban
Brut Champagne or Prosecco,1,Old Cuban
Plain Water,1,Old Fashioned
100% Agave Tequila,1,Paloma
Fresh lime,1,Paloma
A pinch of Salt,1,Paloma
Pink Grapefruit Soda,1,Paloma
Amaro Nonino,1,Paper Plane
Blended scotch whisky,1,Penicillin
Lagavulin 16y,1,Penicillin
Honey syrup,1,Penicillin
2-3 quarter size sliced fresh ginger,1,Penicillin
Coconut Cream,1,Pina Colada
Cloves,1,Pisco Punch
Raw whole Egg White,1,Pisco Sour
Jamaican Rum,1,Planters Punch
Lime Juice,1,Planters Punch
Sugar Cane Juice,1,Planters Punch
Vanilla Vodka,1,Porn Star Martini
Passion Fruit Liqueur,1,Porn Star Martini
Vanilla Sugar,1,Porn Star Martini
Champagne to serve on the side,1,Porn Star Martini
Red Tawny Port Wine,1,Porto Flip
Egg Yolk,1,Porto Flip
Cachaca,1,Rabo De Galo
Sweet Vermouth Cinzano Rosso,1,Rabo De Galo
Cynar,1,Rabo De Galo
Angostura (Optional),1,Rabo De Galo
Cream,1,Ramos Fizz
30ml Egg white,1,Ramos Fizz
Orange Flower Water,1,Ramos Fizz
Vanilla Extract,1,Ramos Fizz
Cherry Brandy Luxardo,1,Remember The Maine
Creme de Cassis,1,Russian Spring Punch
up with Sparkling Wine,1,Russian Spring Punch
Scotch Whisky,1,Rusty Nail
Drambuie,1,Rusty Nail
Peach Schnapps,1,Sex On The Beach
Amontillado sherry,1,Sherry Cobbler
Palo Cortado,1,Sherry Cobbler
Superfine Sugar (or granulated),1,Sherry Cobbler
Orange Wheel,1,Sherry Cobbler
Lemon Wheel,1,Sherry Cobbler
Cherry Sangue Morlacco,1,Singapore Sling
DOM Bénédictine,1,Singapore Sling
A dash of Angostura bitters,1,Singapore Sling
London dry Gin,1,South Side
Fresh Lemon  Juice,1,South Side
Mint leaves,1,South Side
Egg white (Optional),1,South Side
Vodka Vanilla,1,Spicy Fifty
Elderflower Cordial,1,Spicy Fifty
Monin Honey Syrup,1,Spicy Fifty
thin Slices Red Chili Pepper,1,Spicy Fifty
Splash of Soda water,1,Spritz
White Crème de Menthe,1,Stinger
Cognac or Brandy,1,Suffering Bastard
up Ginger beer,1,Suffering Bastard
Rhum Martinique Agricole,1,Three Dots And A Dash
Blended Aged Rum,1,Three Dots And A Dash
Allspice Saint Elizabeth15 ml Fresh Lime Juice,1,Three Dots And A Dash
Fresh Orange juice,1,Three Dots And A Dash
Agave Nectar,1,Tommy’s Margarita
Orgeat Syrup,1,Trinidad Sour
of Absinthe,1,Tuxedo
White Smooth Grappa,1,Ve.N.To
Fresh lemon Juice,1,Ve.N.To
Honey mix (replace water with chamomile)*,1,Ve.N.To
Chamomile cordial,1,Ve.N.To
Bénédictine,1,Vieux Carré
Jamaican dark rum,1,Zombie
Gold Puerto Rican rum,1,Zombie
Demerara Rum,1,Zombie
Donn’s Mix*,1,Zombie
Grenadine syrup,1,Zombie
Pernod,1,Zombie
